Commit,Datapath,packet_size,StackType,rate_type,p25,p5,p75
tput-bbbd4b3,dpdkinline,1460,full:1,rate_pps,2047863.7879473756,2047866.1883588408,2047866.272609688
tput-bbbd4b3,dpdkinline,1460,full:2,rate_bps,23919012962.08568,23919041417.897198,23919044491.615192
tput-bbbd4b3,dpdkinline,1460,full:2,rate_pps,2047861.5679207828,2047864.0042070493,2047864.2673679483
tput-bbbd4b3,dpdkinline,1460,full:3,rate_bps,23919039835.984005,23919041001.67951,23919056975.295105
tput-bbbd4b3,dpdkinline,1460,full:3,rate_pps,2047863.868769219,2047863.9685719584,2047865.3361766136
tput-bbbd4b3,dpdkinline,1460,full:4,rate_bps,23919037657.63553,23919041366.406345,23919046443.9772
tput-bbbd4b3,dpdkinline,1460,full:4,rate_pps,2047863.682266702,2047863.9997985845,2047864.4345223005
tput-bbbd4b3,dpdkinline,1460,full:5,rate_bps,23919020502.618835,23919067982.91369,23919070885.001923
tput-bbbd4b3,dpdkinline,1460,full:5,rate_pps,2047862.2135146488,2047866.278610112,2047866.527076676
tput-bbbd4b3,dpdkinline,1460,raw,rate_bps,23918911937.707737,23918921805.25399,23918925040.563725
tput-bbbd4b3,dpdkinline,1460,raw,rate_pps,2047852.9185696852,2047853.7633942096,2047854.0403900235
