,Commit,Datapath,StackType,num_clients,packet_size,tot_pkts_0.25,tot_pkts_0.5,tot_pkts_0.75,rate_bps_0.25,rate_bps_0.5,rate_bps_0.75,rate_pps_0.25,rate_pps_0.5,rate_pps_0.75,iter_0.25,iter_0.5,iter_0.75
18,tcp-0a7efa1,kernel,full:4,10,4096,12207050.0,12207050.0,12207050.0,21654211937.108524,22536089830.46537,22786602219.669773,660835.1194350345,687747.9382749062,695392.9814249713,1.0,2.0,3.0
19,tcp-0a7efa1,kernel,full:4,10,8192,6103530.0,6103530.0,6103530.0,23508173180.365597,23509020816.40465,23511287675.63589,358707.1005571506,358720.0344871317,358754.62409543386,1.0,2.0,3.0
20,tcp-0a7efa1,kernel,full:5,10,1024,48828140.0,48828140.0,48828140.0,8614148082.682,9084992940.575396,9211570962.50285,1051532.0711945142,1109008.267781766,1124459.691217668,1.0,2.0,3.0
21,tcp-0a7efa1,kernel,full:5,10,2048,24414080.0,24414080.0,24414080.0,15664772985.339628,15768113535.81486,18541585874.864094,956102.5519235808,962409.9630886852,1131689.4019631671,1.0,2.0,3.0
22,tcp-0a7efa1,kernel,full:5,10,4096,12207050.0,12207050.0,12207050.0,17919185380.2142,18111101419.966396,23431510201.785213,546850.9796294891,552707.8013609602,715074.0413787407,1.0,2.0,3.0
23,tcp-0a7efa1,kernel,full:5,10,8192,6103530.0,6103530.0,6103530.0,22173580084.68645,22644863611.070057,23475588018.31858,338342.7780680472,345534.01092107926,358209.88927197806,1.0,2.0,3.0
24,tcp-0a7efa1,kernel,raw,10,1024,48828140.0,48828140.0,48828140.0,10328245061.951525,16301090256.458504,16415959378.439304,1260772.4893460397,1989879.7925895036,2003901.906511088,1.0,2.0,3.0
25,tcp-0a7efa1,kernel,raw,10,2048,24414080.0,24414080.0,24414080.0,20521053777.32797,21382223138.50584,21528997364.72467,1252506.6212594667,1305068.2654423178,1314026.659692638,1.0,2.0,3.0
26,tcp-0a7efa1,kernel,raw,10,4096,12207050.0,12207050.0,12207050.0,21916730160.621086,23028706472.274925,23220358075.183464,668846.5521342547,702781.4282154028,708630.1799624447,1.0,2.0,3.0
27,tcp-0a7efa1,kernel,raw,10,8192,6103530.0,6103530.0,6103530.0,23271076312.480648,23458171910.69564,23475608146.00365,355089.28094276966,357944.1399336315,358210.1963968021,1.0,2.0,3.0
