,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson,Iter
30,server,8,200000,80.0,80.0,80.0,80.0,80.0,1151489.0,1151489.0,1151490.0,1151490.0,1151490.0,12333.0,12333.0,12333.0,12387.0,12387.0,8787.0,29317.0,43514.0,78666.5,1568133.3000000003,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
31,server,8,240000,66.0,66.0,66.0,66.0,66.0,945216.0,945216.0,947211.0,947211.0,947211.0,10373.0,10373.0,10394.0,10394.0,10394.0,27690.0,45168.0,546504.0,1217574.0,3248609.6999999993,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
32,server,8,280000,57.0,57.0,57.0,57.0,57.0,782916.0,782916.0,785518.0,785518.0,785518.0,9121.0,9121.0,9133.0,9133.0,9133.0,24664.0,61871.0,599739.5,1646557.75,3822722.3499999996,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
33,server,8,320000,50.0,50.0,50.0,50.0,50.0,709273.0,709273.0,712807.0,712807.0,712807.0,8108.0,8108.0,8108.0,8118.0,8118.0,32428.0,59305.0,601468.5,1633955.5,3662180.1,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
34,server,8,360000,44.0,44.0,44.0,44.0,44.0,626703.0,626703.0,631538.0,631538.0,631538.0,7247.0,7247.0,7267.0,7267.0,7267.0,35949.0,63819.0,608600.0,1627224.0,3489066.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
35,server,8,400000,40.0,40.0,40.0,40.0,40.0,568833.0,568833.0,571419.0,571419.0,571419.0,6673.0,6673.0,6729.0,6729.0,6729.0,36908.0,64332.0,609444.5,1596871.0,3386904.3499999996,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
36,server,8,10000,1600.0,1600.0,1600.0,1600.0,1600.0,1214001.0,1214001.0,1214005.0,1214005.0,1214005.0,243305.0,243305.0,244412.0,244412.0,244412.0,19.0,23.0,26.0,31.0,45.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
37,server,8,20000,800.0,800.0,800.0,800.0,800.0,1213985.0,1213985.0,1213994.0,1213994.0,1213994.0,121744.0,121744.0,122268.0,122268.0,122268.0,19.0,22.0,25.0,29.0,38.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
38,server,8,60000,266.0,266.0,266.0,266.0,266.0,1213629.0,1213629.0,1213644.0,1213644.0,1213644.0,40560.0,40560.0,40560.0,40753.0,40753.0,21.0,27.0,32.0,41.0,55.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
39,server,8,100000,160.0,160.0,160.0,160.0,160.0,1213000.0,1213000.0,1213102.0,1213102.0,1213102.0,24448.0,24448.0,24568.0,24568.0,24568.0,24.0,33.0,45.0,71.0,92.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
40,server,8,140000,114.0,114.0,114.0,114.0,114.0,753585.0,753585.0,755550.0,755550.0,755550.0,17736.0,17736.0,17752.0,17752.0,17752.0,31.0,44.0,60.0,116.0,146.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
